Query,CPU Energy Consumption (Joules),RAM Energy Consumption (Joules),Total Energy Consumption (Joules),Query Duration (seconds)
"SELECT a.state_id, b.country_id FROM cities AS a LEFT JOIN cities AS b ON a.country_id = b.country_id where a.state_id=2824 and a.state_code='RM' and b.state_code='RM';",6.5,0.46205077,6.970999897,0.09470033646
"SELECT a.state_id, b.country_id FROM cities AS a LEFT JOIN cities AS b ON a.country_id = b.country_id where a.state_id=2824 and a.state_code='RM' and b.state_code='RM';",6,0.46205076,6.470033177,0.09352827072
"SELECT a.state_id, b.country_id FROM cities AS a LEFT JOIN cities AS b ON a.country_id = b.country_id where a.state_id=2824 and a.state_code='RM' and b.state_code='RM';",6,0.46205077,6.469918073,0.09208774567
"SELECT a.state_id, b.country_id FROM cities AS a LEFT JOIN cities AS b ON a.country_id = b.country_id where a.state_id=2824 and a.state_code='RM' and b.state_code='RM';",6,0.46205078,6.469985824,0.0919547081
"SELECT a.state_id, b.country_id FROM cities AS a LEFT JOIN cities AS b ON a.country_id = b.country_id where a.state_id=2824 and a.state_code='RM' and b.state_code='RM';",6.5,0.46205075,6.970037927,0.09219169617
"SELECT a.state_id, b.country_id FROM cities AS a LEFT JOIN cities AS b ON a.country_id = b.country_id where a.state_id=2824 and a.state_code='RM' and b.state_code='RM';",6.5,0.46205079,6.970020575,0.09213685989
"SELECT a.state_id, b.country_id FROM cities AS a LEFT JOIN cities AS b ON a.country_id = b.country_id where a.state_id=2824 and a.state_code='RM' and b.state_code='RM';",6,0.4620508,6.470004912,0.09262061119
"SELECT a.state_id, b.country_id FROM cities AS a LEFT JOIN cities AS b ON a.country_id = b.country_id where a.state_id=2824 and a.state_code='RM' and b.state_code='RM';",6,0.46205074,6.470000793,0.09158658981
"SELECT a.state_id, b.country_id FROM cities AS a LEFT JOIN cities AS b ON a.country_id = b.country_id where a.state_id=2824 and a.state_code='RM' and b.state_code='RM';",6.5,0.46205081,6.970006421,0.09180045128
"SELECT a.state_id, b.country_id FROM cities AS a LEFT JOIN cities AS b ON a.country_id = b.country_id where a.state_id=2824 and a.state_code='RM' and b.state_code='RM';",5.9,0.46205072,6.3700078,0.09270477295
